Retrosheet team ID,FanDuel team ID,DraftKings team ID,MLB.com team ID
ANA,LAA,LAA,LAA
ARI,ARI,ARI,ARI
ATL,ATL,ATL,ATL
BAL,BAL,BAL,BAL
BOS,BOS,BOS,BOS
CHA,CWS,CWS,CWS
CHN,CHC,CHC,CHC
CIN,CIN,CIN,CIN
CLE,CLE,CLE,CLE
COL,COL,COL,COL
DET,DET,DET,DET
HOU,HOU,HOU,HOU
KCA,KAN,KC,KC
LAN,LOS,LAD,LAD
MIA,MIA,MIA,MIA
MIL,MIL,MIL,MIL
MIN,MIN,MIN,MIN
NYA,NYY,NYY,NYY
NYN,NYM,NYM,NYM
OAK,OAK,OAK,OAK
PHI,PHI,PHI,PHI
PIT,PIT,PIT,PIT
SDN,SDP,SD,SD
SEA,SEA,SEA,SEA
SFN,SFG,SF,SF
SLN,STL,STL,STL
TBA,TAM,TB,TB
TEX,TEX,TEX,TEX
TOR,TOR,TOR,TOR
WAS,WAS,WAS,WSH